member,num_magnet_schools,num_charter_schools,TOTFRL,FRELCH,pct_participating,popu_tot,meanic_hh,hh_ratio_married,hh_ratio_female,highschool,bachelorplus,employ,gini,y,t_cluster,t_median,z_cluster,z_median,countyid,funding,hh_ratio_black,score
533.0,-0.148113116,-0.182243202,304.0,304.0,1.0,-0.271964104,-1.929348342,-2.85689351,1.878384703,-0.496400955,-0.242169562,-2.042428917,2.075480305,-1.178571429,0,0,1,1,1119,-0.782101307,4.724536593,-1.178571429
497.5555556,-0.148113116,-0.182243202,319.0,271.6666667,1.0,-0.072310202,-0.7739623240000001,-0.8758291640000001,1.172088987,-0.8756916840000001,-0.834257846,-1.04886223,0.26353425,-0.767857143,0,0,1,1,1121,-0.782101307,1.659779136,-0.767857143
749.75,-0.148113116,-0.182243202,390.0,339.75,1.0,-0.186800434,-0.709140503,-0.252601875,0.9764967859999999,-0.857592555,-0.39450957600000003,-0.769555234,0.243839185,-0.7455357140000001,0,0,1,1,1123,-0.782101307,1.235281989,-0.7455357140000001
901.2222222000001,-0.148113116,-0.182243202,390.8888889,344.6666667,1.0,0.316906112,0.105139656,-0.7903724320000001,0.939572353,0.365491745,1.098855911,-0.264388572,0.44360342399999997,-0.593253968,0,0,1,1,1125,-0.782101307,1.462544181,-0.593253968
528.0,-0.148113116,-0.182243202,278.8333333,238.5,1.0,-0.112411482,-0.781778984,0.01954552,0.783647137,-0.9221785929999999,-1.079574472,-1.018702435,0.32824661,-0.648809524,0,0,0,1,1127,-0.782101307,-0.17270217399999999,-0.648809524
464.4,-0.148113116,-0.182243202,264.8,218.8,1.0,-0.26069389,-0.611245422,0.372327319,0.8465582009999999,-0.60076118,-1.155041987,-1.42915241,0.522383687,-0.807142857,0,0,1,1,1129,-0.782101307,1.1580860179999999,-0.807142857
550.0,-0.148113116,-0.182243202,364.0,364.0,1.0,-0.278627133,-1.58792266,-2.447388201,2.369629529,-1.122522818,-0.99284912,-2.7263812119999997,2.041717336,-1.25,0,0,1,1,1131,-0.782101307,4.36604297,-1.25
309.0,-0.148113116,-0.182243202,167.6,131.0,1.0,-0.238467378,-1.043933873,0.022623745,-0.067477551,-1.390346237,-0.909330037,-1.123537515,0.212889795,-0.517857143,0,0,0,0,1133,-0.782101307,-0.573396268,-0.517857143
434.0,-0.148113116,-0.182243202,252.5,211.0,1.0,-0.255751245,-0.662349776,-1.112105359,0.7224828000000001,-0.5674008420000001,-0.797005207,-0.063251463,1.203270248,-0.553571429,0,1,1,1,5001,-0.608057725,1.133753718,-0.553571429
542.5,-0.148113116,-0.182243202,275.0,237.0,1.0,-0.248306503,-0.86066238,-0.082985315,0.347363339,-0.49621672899999997,-0.833027289,-0.823288577,0.587096046,-0.5,0,1,1,1,5003,-0.608057725,1.246825971,-0.5
562.3333332999999,-0.148113116,0.185566255,335.3333333,290.6666667,1.0,-0.18576327899999998,-0.713294878,0.35379486600000004,-0.6976999770000001,0.169193798,-0.295986162,-0.32600139300000003,0.001871233,-0.23809523800000001,0,1,0,0,5005,-0.608057725,-0.586244587,-0.23809523800000001
1084.6,-0.148113116,1.288994624,414.8,335.1,1.0,0.46278182799999995,1.113060627,1.2431378709999998,-0.21629942600000002,0.146105712,1.113419168,0.74909089,0.156618179,-0.0875,0,1,0,0,5007,-0.608057725,-0.481480485,-0.0875
246.8,-0.148113116,-0.182243202,148.8,129.2,1.0,-0.197707489,-0.6754016509999999,0.643968235,-0.513683141,-0.152439151,-0.5394348929999999,-0.172758628,-0.231655976,-0.292857143,0,1,0,0,5009,-0.608057725,-0.5732026920000001,-0.292857143
185.0,-0.148113116,-0.182243202,127.0,117.0,1.0,-0.278396312,-0.901662546,-1.015638066,0.843544941,-0.722714179,-0.7339987729999999,-0.900419711,1.020387494,-1.017857143,0,1,1,1,5011,-0.608057725,1.607250984,-1.017857143
258.0,-0.148113116,-0.182243202,185.0,150.0,1.0,-0.29624646,-0.835938469,0.12362686699999999,0.047758785,-0.32206571300000003,-0.959248575,-0.29681825,-0.124739904,-0.8035714290000001,0,1,1,1,5013,-0.608057725,1.1317939890000002,-0.8035714290000001
394.0,-0.148113116,-0.182243202,249.33333330000002,199.33333330000002,1.0,-0.226729367,-0.741358985,0.368974691,-0.6122073889999999,-0.135580165,-0.288660757,-0.159883149,-0.220401652,-0.35119047600000003,0,1,0,0,5015,-0.608057725,-0.547730402,-0.35119047600000003
224.5,-0.148113116,-0.182243202,221.5,221.5,1.0,-0.278353225,-0.892516495,-1.5944476969999999,1.835565655,-0.92353109,-0.859295322,-1.6067024890000001,3.2065397989999997,-0.892857143,0,1,1,1,5017,-0.608057725,3.163294315,-0.892857143
